Name,taxi_st_type,taxi_st_lat,taxi_st_lon,taxi_pln_area,mrt_stn
kml_115,TAXI STAND,1.404724087,103.7905044,CENTRAL WATER CATCHMENT,
kml_116,TAXI STAND,1.286430091,103.801362,QUEENSTOWN,
kml_117,TAXI STAND,1.298292021,103.7837221,QUEENSTOWN,
kml_118,TAXI STAND,1.302408899,103.798007,QUEENSTOWN,EW20
kml_119,TAXI STAND,1.338952938,103.7069183,JURONG WEST,EW27
kml_120,TAXI STAND,1.288198506,103.8035132,QUEENSTOWN,
kml_121,TAXI PICK UP,1.298839068,103.8492552,MUSEUM,
kml_122,TAXI STAND,1.29334804,103.8251253,TANGLIN,
kml_123,TAXI STAND,1.372394056,103.9487032,PASIR RIS,EW01
kml_124,TAXI STAND,1.317673511,103.897691,GEYLANG,
kml_125,TAXI STAND,1.389690829,103.9868704,CHANGI,
kml_126,TAXI STAND,1.308604138,103.8892189,GEYLANG,CC08
kml_127,TAXI STAND,1.326711506,103.9460552,BEDOK,EW04
kml_128,TAXI STAND,1.300559298,103.8496896,ROCHOR,
kml_129,TAXI STAND,1.349452012,103.8741423,SERANGOON,CC13
kml_130,TAXI STAND,1.305434685,103.8495878,ROCHOR,NE07
kml_131,TAXI STAND,1.300542382,103.8452336,MUSEUM,
kml_132,TAXI STAND,1.299169577,103.8474828,MUSEUM,
kml_133,TAXI STOP,1.298932432,103.8564242,DOWNTOWN CORE,DT14
kml_134,TAXI STOP,1.296240012,103.8460816,MUSEUM,
kml_135,TAXI PICK UP,1.29237923,103.8566866,DOWNTOWN CORE,CC03
kml_136,TAXI STAND,1.291530653,103.8598475,DOWNTOWN CORE,
kml_137,TAXI STAND,1.29534703,103.8586563,DOWNTOWN CORE,
kml_138,TAXI STAND,1.294981285,103.8595076,DOWNTOWN CORE,
kml_139,TAXI STAND,1.291619373,103.8578726,DOWNTOWN CORE,
kml_140,TAXI STAND,1.292834965,103.860595,DOWNTOWN CORE,DT15
kml_141,TAXI STAND,1.289821622,103.8562914,DOWNTOWN CORE,
kml_142,TAXI STAND,1.292803723,103.8569453,DOWNTOWN CORE,CC03
kml_143,TAXI PICK UP,1.293339064,103.8537185,DOWNTOWN CORE,
kml_144,TAXI STAND,1.294206953,103.8492815,MUSEUM,
kml_145,TAXI STAND,1.273483684,103.8094234,BUKIT MERAH,
kml_146,TAXI STOP,1.339474654,103.9851174,CHANGI,
